seqid	geneID	source	type_gene	start_gene	end_gene	score_gene	strand_gene	phase_gene	attributes_gene	nchildrenhit	Program_code_geneID	childnames_hit	childnames_protein_hit	Prog_single_hits	childnames_NLRtracker	children_Status_Ntr	children_Domain	children_DomainSimpl	children_Subclass_p	Status_Ntr_cons	Domain_cons	DomainSimpl_cons	Subclass_p_cons	exclusive_MLKL	childnames_hmmer	children_profiles	profile_combi_cons	nonLRR_profile	childnames_NLRannotator	annotNLR	nRegions	NLRtrackerhit	hmmerhit	NLRannotatorhit	inNLRannotatoronlyregion	priority_geneID	priority_note
CP002684.1	gene-AT1G72850	Genbank	gene	27413881	27415483	.	+	.	ID=gene-AT1G72850;Dbxref=Araport:AT1G72850,TAIR:AT1G72850;Name=AT1G72850;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F3N23.5,F3N23_5;locus_tag=AT1G72850	1	7	rna-gnl|JCVI|mRNA.AT1G72850.1	AEE35382.1	7	rna-gnl|JCVI|mRNA.AT1G72850.1	NLR	(TIR)(NBARC)	TN	TIR-NLR	NLR	(TIR)(NBARC)	TN	TIR-NLR	FALSE	rna-gnl|JCVI|mRNA.AT1G72850.1	TN	TN	1	rna-gnl|JCVI|mRNA.AT1G72850.1	CP002684.1_nlr_30:27413985-27415490	1	TRUE	TRUE	TRUE	FALSE	high	ProgCode_7
CP002684.1	gene-AT1G72860	Genbank	gene	27416228	27420946	.	-	.	ID=gene-AT1G72860;Dbxref=Araport:AT1G72860,TAIR:AT1G72860;Name=AT1G72860;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F3N23.6,F3N23_6;locus_tag=AT1G72860	3	7	rna-gnl|JCVI|mRNA.AT1G72860.1;rna-gnl|JCVI|mRNA.AT1G72860.2;rna-gnl|JCVI|mRNA.AT1G72860.3	AEE35383.1;ANM59812.1;ANM59813.1	7;7;7	rna-gnl|JCVI|mRNA.AT1G72860.1;rna-gnl|JCVI|mRNA.AT1G72860.2;rna-gnl|JCVI|mRNA.AT1G72860.3	NLR;NLR;NLR	(TIR)(NBARC)(LRR)(LRR);(TIR)(NBARC)(LRR)(CJID);(TIR)(NBARC)(LRR)(LRR)	TNL;TNLJ;TNL	TIR-NLR;TIR-NLR;TIR-NLR	NLR	(TIR)(NBARC)(LRR)(LRR)	TNL	TIR-NLR	FALSE	rna-gnl|JCVI|mRNA.AT1G72860.1;rna-gnl|JCVI|mRNA.AT1G72860.2;rna-gnl|JCVI|mRNA.AT1G72860.3	TNL;TNL;TNL	TNL	1	rna-gnl|JCVI|mRNA.AT1G72860.1;rna-gnl|JCVI|mRNA.AT1G72860.2;rna-gnl|JCVI|mRNA.AT1G72860.3	CP002684.1_nlr_37:27417362-27420748	1	TRUE	TRUE	TRUE	FALSE	high	ProgCode_7
CP002684.1	gene-AT1G72870	Genbank	gene	27420939	27423338	.	+	.	ID=gene-AT1G72870;Dbxref=Araport:AT1G72870,TAIR:AT1G72870;Name=AT1G72870;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F3N23.7,F3N23_7;locus_tag=AT1G72870	1	7	rna-gnl|JCVI|mRNA.AT1G72870.1	AEE35384.1	7	rna-gnl|JCVI|mRNA.AT1G72870.1	NLR	(TIR)(NBARC)	TN	TIR-NLR	NLR	(TIR)(NBARC)	TN	TIR-NLR	FALSE	rna-gnl|JCVI|mRNA.AT1G72870.1	TN	TN	1	rna-gnl|JCVI|mRNA.AT1G72870.1	CP002684.1_nlr_31:27421109-27422828	1	TRUE	TRUE	TRUE	FALSE	high	ProgCode_7
CP002684.1	gene-AT1G72890	Genbank	gene	27429916	27432003	.	+	.	ID=gene-AT1G72890;Dbxref=Araport:AT1G72890,TAIR:AT1G72890;Name=AT1G72890;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F3N23.9,F3N23_9;locus_tag=AT1G72890	2	7	rna-gnl|JCVI|mRNA.AT1G72890.1;rna-gnl|JCVI|mRNA.AT1G72890.2	AEE35387.1;AEE35388.1	7;7	rna-gnl|JCVI|mRNA.AT1G72890.1;rna-gnl|JCVI|mRNA.AT1G72890.2	NLR;NLR	(TIR)(NBARC);(TIR)(NBARC)	TN;TN	TIR-NLR;TIR-NLR	NLR	(TIR)(NBARC)	TN	TIR-NLR	FALSE	rna-gnl|JCVI|mRNA.AT1G72890.1;rna-gnl|JCVI|mRNA.AT1G72890.2	TN;TN	TN	1	rna-gnl|JCVI|mRNA.AT1G72890.1;rna-gnl|JCVI|mRNA.AT1G72890.2	CP002684.1_nlr_32:27430057-27431555	1	TRUE	TRUE	TRUE	FALSE	high	ProgCode_7
CP002684.1	gene-AT1G72900	Genbank	gene	27432178	27433782	.	+	.	ID=gene-AT1G72900;Dbxref=Araport:AT1G72900,TAIR:AT1G72900;Name=AT1G72900;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F3N23.10,F3N23_10;locus_tag=AT1G72900	1	7	rna-gnl|JCVI|mRNA.AT1G72900.1	AEE35389.1	7	rna-gnl|JCVI|mRNA.AT1G72900.1	NLR	(TIR)(NBARC)	TN	TIR-NLR	NLR	(TIR)(NBARC)	TN	TIR-NLR	FALSE	rna-gnl|JCVI|mRNA.AT1G72900.1	TN	TN	1	rna-gnl|JCVI|mRNA.AT1G72900.1	CP002684.1_nlr_33:27432239-27434548	1	TRUE	TRUE	TRUE	FALSE	high	ProgCode_7
CP002684.1	gene-AT1G72910	Genbank	gene	27435306	27437192	.	+	.	ID=gene-AT1G72910;Dbxref=Araport:AT1G72910,TAIR:AT1G72910;Name=AT1G72910;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F3N23.11,F3N23_11;locus_tag=AT1G72910	1	7	rna-gnl|JCVI|mRNA.AT1G72910.1	AEE35390.1	7	rna-gnl|JCVI|mRNA.AT1G72910.1	NLR	(TIR)(NBARC)	TN	TIR-NLR	NLR	(TIR)(NBARC)	TN	TIR-NLR	FALSE	rna-gnl|JCVI|mRNA.AT1G72910.1	TN	TN	1	rna-gnl|JCVI|mRNA.AT1G72910.1	CP002684.1_nlr_34:27435654-27436707	1	TRUE	TRUE	TRUE	FALSE	high	ProgCode_7
CP002684.1	gene-AT1G72920	Genbank	gene	27437899	27439209	.	+	.	ID=gene-AT1G72920;Dbxref=Araport:AT1G72920,TAIR:AT1G72920;Name=AT1G72920;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F3N23.12,F3N23_12;locus_tag=AT1G72920	1	3	rna-gnl|JCVI|mRNA.AT1G72920.1	AEE35391.1	3	rna-gnl|JCVI|mRNA.AT1G72920.1	TX	(TIR)	T	TX	TX	(TIR)	T	TX	FALSE	rna-gnl|JCVI|mRNA.AT1G72920.1	T	T	1			0	TRUE	TRUE	FALSE	FALSE	high	ProgCode_3
CP002684.1	gene-AT1G72930	Genbank	gene	27439240	27440464	.	+	.	ID=gene-AT1G72930;Dbxref=Araport:AT1G72930,TAIR:AT1G72930;Name=TIR;Note=Toll/interleukin-1 receptor-like protein (TIR) mRNA;gbkey=Gene;gene=TIR;gene_biotype=protein_coding;gene_synonym=AtTN10,F3N23.13,F3N23_13,TIR-nucleotide binding site family 10,TN10,toll/interleukin-1 receptor-like;locus_tag=AT1G72930	2	3	rna-gnl|JCVI|mRNA.AT1G72930.1;rna-gnl|JCVI|mRNA.AT1G72930.2	AEE35392.1;AEE35393.1	3;3	rna-gnl|JCVI|mRNA.AT1G72930.1;rna-gnl|JCVI|mRNA.AT1G72930.2	TX;TX	(TIR);(TIR)	T;T	TX;TX	TX	(TIR)	T	TX	FALSE	rna-gnl|JCVI|mRNA.AT1G72930.1;rna-gnl|JCVI|mRNA.AT1G72930.2	T;T	T	1			0	TRUE	TRUE	FALSE	FALSE	high	ProgCode_3
CP002684.1	gene-AT1G72940	Genbank	gene	27441981	27443859	.	+	.	ID=gene-AT1G72940;Dbxref=Araport:AT1G72940,TAIR:AT1G72940;Name=AT1G72940;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F3N23.14,F3N23_14;locus_tag=AT1G72940	1	7	rna-gnl|JCVI|mRNA.AT1G72940.1	AEE35394.1	7	rna-gnl|JCVI|mRNA.AT1G72940.1	NLR	(TIR)(NBARC)	TN	TIR-NLR	NLR	(TIR)(NBARC)	TN	TIR-NLR	FALSE	rna-gnl|JCVI|mRNA.AT1G72940.1	TN	TN	1	rna-gnl|JCVI|mRNA.AT1G72940.1	CP002684.1_nlr_35:27442298-27443400	1	TRUE	TRUE	TRUE	FALSE	high	ProgCode_7
CP002684.1	gene-AT1G72950	Genbank	gene	27444415	27445997	.	+	.	ID=gene-AT1G72950;Dbxref=Araport:AT1G72950,TAIR:AT1G72950;Name=AT1G72950;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F3N23.15,F3N23_15;locus_tag=AT1G72950	1	7	rna-gnl|JCVI|mRNA.AT1G72950.1	AEE35395.1	7	rna-gnl|JCVI|mRNA.AT1G72950.1	NLR	(TIR)(NBARC)	TN	TIR-NLR	NLR	(TIR)(NBARC)	TN	TIR-NLR	FALSE	rna-gnl|JCVI|mRNA.AT1G72950.1	TN	TN	1	rna-gnl|JCVI|mRNA.AT1G72950.1	CP002684.1_nlr_36:27444611-27445715	1	TRUE	TRUE	TRUE	FALSE	high	ProgCode_7
CP002684.1	gene-AT1G73066	Genbank	gene	27481785	27484078	.	+	.	ID=gene-AT1G73066;Dbxref=Araport:AT1G73066,TAIR:AT1G73066;Name=AT1G73066;gbkey=Gene;gene_biotype=protein_coding;locus_tag=AT1G73066	1	2	rna-gnl|JCVI|mRNA.AT1G73066.1	AEE35410.1	2										NA	rna-gnl|JCVI|mRNA.AT1G73066.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G73080	Genbank	gene	27484240	27488204	.	+	.	ID=gene-AT1G73080;Dbxref=Araport:AT1G73080,TAIR:AT1G73080;Name=PEPR1;Note=Encodes a leucine-rich repeat receptor kinase. Functions as a receptor for AtPep1 to amplify innate immunity response to pathogen attacks.;gbkey=Gene;gene=PEPR1;gene_biotype=protein_coding;gene_synonym=ATPEPR1,F3N23.28,F3N23_28,PEP1 receptor 1,PEP1 RECEPTOR 1;locus_tag=AT1G73080	1	2	rna-gnl|JCVI|mRNA.AT1G73080.1	AEE35411.1	2										NA	rna-gnl|JCVI|mRNA.AT1G73080.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G74170	Genbank	gene	27891494	27896436	.	-	.	ID=gene-AT1G74170;Dbxref=Araport:AT1G74170,TAIR:AT1G74170;Name=RLP13;gbkey=Gene;gene=RLP13;gene_biotype=protein_coding;gene_synonym=AtRLP13,F9E11.7,F9E11_7,receptor like protein 13;locus_tag=AT1G74170	2	2	rna-gnl|JCVI|mRNA.AT1G74170.1;rna-gnl|JCVI|mRNA.AT1G74170.2	AEE35562.1;ANM60125.1	2;2										NA	rna-gnl|JCVI|mRNA.AT1G74170.1;rna-gnl|JCVI|mRNA.AT1G74170.2	L;L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G74180	Genbank	gene	27897040	27902025	.	-	.	ID=gene-AT1G74180;Dbxref=Araport:AT1G74180,TAIR:AT1G74180;Name=RLP14;gbkey=Gene;gene=RLP14;gene_biotype=protein_coding;gene_synonym=AtRLP14,F9E11.6,F9E11_6,receptor like protein 14;locus_tag=AT1G74180	2	2	rna-gnl|JCVI|mRNA.AT1G74180.2;rna-gnl|JCVI|mRNA.AT1G74180.1	ANM61040.1;AEE35563.1	2;2										NA	rna-gnl|JCVI|mRNA.AT1G74180.2;rna-gnl|JCVI|mRNA.AT1G74180.1	L;L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G74190	Genbank	gene	27902590	27906168	.	-	.	ID=gene-AT1G74190;Dbxref=Araport:AT1G74190,TAIR:AT1G74190;Name=RLP15;gbkey=Gene;gene=RLP15;gene_biotype=protein_coding;gene_synonym=AtRLP15,F9E11.4,receptor like protein 15;locus_tag=AT1G74190	1	2	rna-gnl|JCVI|mRNA.AT1G74190.1	AEE35564.1	2										NA	rna-gnl|JCVI|mRNA.AT1G74190.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G74200	Genbank	gene	27906909	27909358	.	-	.	ID=gene-AT1G74200;Dbxref=Araport:AT1G74200,TAIR:AT1G74200;Name=RLP16;gbkey=Gene;gene=RLP16;gene_biotype=protein_coding;gene_synonym=AtRLP16,F1O17.13,F1O17_13,receptor like protein 16;locus_tag=AT1G74200	3	2	rna-gnl|JCVI|mRNA.AT1G74200.1;rna-gnl|JCVI|mRNA.AT1G74200.2;rna-gnl|JCVI|mRNA.AT1G74200.3	AEE35565.1;ANM59089.1;ANM59090.1	2;2;2										NA	rna-gnl|JCVI|mRNA.AT1G74200.1;rna-gnl|JCVI|mRNA.AT1G74200.2;rna-gnl|JCVI|mRNA.AT1G74200.3	L;L;L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G74360	Genbank	gene	27954129	27958114	.	+	.	ID=gene-AT1G74360;Dbxref=Araport:AT1G74360,TAIR:AT1G74360;Name=AT1G74360;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F1M20.4,F1M20_4;locus_tag=AT1G74360	1	2	rna-gnl|JCVI|mRNA.AT1G74360.1	AEE35582.1	2										NA	rna-gnl|JCVI|mRNA.AT1G74360.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G75640	Genbank	gene	28403371	28407182	.	-	.	ID=gene-AT1G75640;Dbxref=Araport:AT1G75640,TAIR:AT1G75640;Name=AT1G75640;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F10A5.16,F10A5_16;locus_tag=AT1G75640	1	2	rna-gnl|JCVI|mRNA.AT1G75640.1	AEE35741.1	2										NA	rna-gnl|JCVI|mRNA.AT1G75640.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G75820	Genbank	gene	28463344	28466971	.	-	.	ID=gene-AT1G75820;Dbxref=Araport:AT1G75820,TAIR:AT1G75820;Name=CLV1;Note=Putative receptor kinase with an extracellular leucine-rich domain. Controls shoot and floral meristem size%2C and contributes to establish and maintain floral meristem identity. Negatively regulated by KAPP (kinase-associated protein phosphatase). CLV3 peptide binds directly CLV1 ectodomain.;gbkey=Gene;gene=CLV1;gene_biotype=protein_coding;gene_synonym=ATCLV1,CLAVATA 1,CLV1 RECEPTOR KINASE PRECURSOR,FAS3,FASCIATA 3,FLO5,FLOWER DEVELOPMENT 5,T4O12.5,T4O12_5;locus_tag=AT1G75820	1	2	rna-gnl|JCVI|mRNA.AT1G75820.1	AEE35762.1	2										NA	rna-gnl|JCVI|mRNA.AT1G75820.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G77000	Genbank	gene	28940147	28942639	.	+	.	ID=gene-AT1G77000;Dbxref=Araport:AT1G77000,TAIR:AT1G77000;Name=SKP2B;Note=AtSKP2%3B2 is a homolog of human SKP2%2C the human F-box protein that recruits E2F1. Contains an F-box motif at the N-terminal region and a C-terminal Leu-rich repeat domain. Forms part of an E3-ubiquitin-ligase SCF (Skp1%2C cullin%2C F-box) complex and recruits phosphorylated AtE2Fc%2C a transcriptional factor that might play a role in cell division and during the transition from skotomorphogenesis to photomorphogenesis. AtSKP2%3B1 (At1g21410) and AtSKP2%3B2 (At1g77000) may be duplicated genes. AtSKP2b may also be involved in the degradation of KRP1/ICK1%2C a CDK inhibitor.;gbkey=Gene;gene=SKP2B;gene_biotype=protein_coding;gene_synonym=ARABIDOPSIS HOMOLOG OF HOMOLOG OF HUMAN SKP2 2,ATSKP2%3B2,F22K20.10,F22K20_10;locus_tag=AT1G77000	4	2	rna-gnl|JCVI|mRNA.AT1G77000.3;rna-gnl|JCVI|mRNA.AT1G77000.4;rna-gnl|JCVI|mRNA.AT1G77000.1;rna-gnl|JCVI|mRNA.AT1G77000.2	ANM59766.1;ANM59767.1;AEE35923.1;AEE35924.1	2;2;2;2										NA	rna-gnl|JCVI|mRNA.AT1G77000.3;rna-gnl|JCVI|mRNA.AT1G77000.4;rna-gnl|JCVI|mRNA.AT1G77000.1;rna-gnl|JCVI|mRNA.AT1G77000.2	L;L;L;L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G78230	Genbank	gene	29430052	29432764	.	+	.	ID=gene-AT1G78230;Dbxref=Araport:AT1G78230,TAIR:AT1G78230;Name=AT1G78230;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=T11I11.17,T11I11_17;locus_tag=AT1G78230	1	2	rna-gnl|JCVI|mRNA.AT1G78230.1	AEE36084.1	2										NA	rna-gnl|JCVI|mRNA.AT1G78230.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G78470	Genbank	gene	29521770	29523191	.	+	.	ID=gene-AT1G78470;Dbxref=Araport:AT1G78470,TAIR:AT1G78470;Name=AT1G78470;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F3F9.2;locus_tag=AT1G78470	1	2	rna-gnl|JCVI|mRNA.AT1G78470.1	AEE36109.1	2										NA	rna-gnl|JCVI|mRNA.AT1G78470.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G78730	Genbank	gene	29607689	29609441	.	-	.	ID=gene-AT1G78730;Dbxref=Araport:AT1G78730,TAIR:AT1G78730;Name=AT1G78730;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F9K20.23,F9K20_23;locus_tag=AT1G78730	1	2	rna-gnl|JCVI|mRNA.AT1G78730.1	AEE36144.1	2										NA	rna-gnl|JCVI|mRNA.AT1G78730.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G78740	Genbank	gene	29610494	29611492	.	-	.	ID=gene-AT1G78740;Dbxref=Araport:AT1G78740,TAIR:AT1G78740;Name=AT1G78740;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F9K20.22,F9K20_22;locus_tag=AT1G78740	1	2	rna-gnl|JCVI|mRNA.AT1G78740.1	AEE36145.1	2										NA	rna-gnl|JCVI|mRNA.AT1G78740.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G78750	Genbank	gene	29612904	29614884	.	-	.	ID=gene-AT1G78750;Dbxref=Araport:AT1G78750,TAIR:AT1G78750;Name=AT1G78750;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F9K20.21,F9K20_21;locus_tag=AT1G78750	2	2	rna-gnl|JCVI|mRNA.AT1G78750.1;rna-gnl|JCVI|mRNA.AT1G78750.2	AEE36146.1;ANM59845.1	2;2										NA	rna-gnl|JCVI|mRNA.AT1G78750.1;rna-gnl|JCVI|mRNA.AT1G78750.2	L;L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G78840	Genbank	gene	29639290	29641018	.	-	.	ID=gene-AT1G78840;Dbxref=Araport:AT1G78840,TAIR:AT1G78840;Name=AT1G78840;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F9K20.11,F9K20_11;locus_tag=AT1G78840	2	2	rna-gnl|JCVI|mRNA.AT1G78840.1;rna-gnl|JCVI|mRNA.AT1G78840.2	AEE36161.1;ANM59675.1	2;2										NA	rna-gnl|JCVI|mRNA.AT1G78840.1;rna-gnl|JCVI|mRNA.AT1G78840.2	L;L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G78980	Genbank	gene	29707625	29711421	.	-	.	ID=gene-AT1G78980;Dbxref=Araport:AT1G78980,TAIR:AT1G78980;Name=SRF5;gbkey=Gene;gene=SRF5;gene_biotype=protein_coding;gene_synonym=STRUBBELIG-receptor family 5,YUP8H12R.40,YUP8H12R_40;locus_tag=AT1G78980	1	2	rna-gnl|JCVI|mRNA.AT1G78980.1	AEE36188.1	2										NA	rna-gnl|JCVI|mRNA.AT1G78980.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G79620	Genbank	gene	29957390	29962323	.	-	.	ID=gene-AT1G79620;Dbxref=Araport:AT1G79620,TAIR:AT1G79620;Name=AT1G79620;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F20B17.5,F20B17_5;locus_tag=AT1G79620	5	2	rna-gnl|JCVI|mRNA.AT1G79620.4;rna-gnl|JCVI|mRNA.AT1G79620.3;rna-gnl|JCVI|mRNA.AT1G79620.2;rna-gnl|JCVI|mRNA.AT1G79620.5;rna-gnl|JCVI|mRNA.AT1G79620.1	ANM59548.1;ANM59551.1;ANM59550.1;ANM59549.1;AEE36273.1	2;2;2;2;2										NA	rna-gnl|JCVI|mRNA.AT1G79620.4;rna-gnl|JCVI|mRNA.AT1G79620.3;rna-gnl|JCVI|mRNA.AT1G79620.2;rna-gnl|JCVI|mRNA.AT1G79620.5;rna-gnl|JCVI|mRNA.AT1G79620.1	L;L;L;L;L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G80080	Genbank	gene	30127819	30129649	.	-	.	ID=gene-AT1G80080;Dbxref=Araport:AT1G80080,TAIR:AT1G80080;Name=TMM;Note=Encodes a transmembrane leucine-repeat containing receptor-like protein that is expressed in proliferative postprotodermal cells. Recessive mutation leads to disruption of asymmetric cell division during stomata development. Its transcript levels change after inducing MUTE expression in a mute background.;gbkey=Gene;gene=TMM;gene_biotype=protein_coding;gene_synonym=AtRLP17,F18B13.16,F18B13_16,Receptor Like Protein 17,TOO MANY MOUTHS;locus_tag=AT1G80080	1	2	rna-gnl|JCVI|mRNA.AT1G80080.1	AEE36354.1	2										NA	rna-gnl|JCVI|mRNA.AT1G80080.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G80470	Genbank	gene	30256065	30258032	.	+	.	ID=gene-AT1G80470;Dbxref=Araport:AT1G80470,TAIR:AT1G80470;Name=AT1G80470;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=T21F11.20,T21F11_20;locus_tag=AT1G80470	1	2	rna-gnl|JCVI|mRNA.AT1G80470.1	AEE36409.2	2										NA	rna-gnl|JCVI|mRNA.AT1G80470.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G80570	Genbank	gene	30290325	30292420	.	+	.	ID=gene-AT1G80570;Dbxref=Araport:AT1G80570,TAIR:AT1G80570;Name=AT1G80570;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=T21F11.10,T21F11_10;locus_tag=AT1G80570	3	2	rna-gnl|JCVI|mRNA.AT1G80570.2;rna-gnl|JCVI|mRNA.AT1G80570.3;rna-gnl|JCVI|mRNA.AT1G80570.1	AEE36421.1;AEE36422.1;AEE36423.1	2;2;2										NA	rna-gnl|JCVI|mRNA.AT1G80570.2;rna-gnl|JCVI|mRNA.AT1G80570.3;rna-gnl|JCVI|mRNA.AT1G80570.1	L;L;L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G80630	Genbank	gene	30308696	30310667	.	-	.	ID=gene-AT1G80630;Dbxref=Araport:AT1G80630,TAIR:AT1G80630;Name=AT1G80630;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=T21F11.4,T21F11_4;locus_tag=AT1G80630	1	2	rna-gnl|JCVI|mRNA.AT1G80630.1	AEE36429.1	2										NA	rna-gnl|JCVI|mRNA.AT1G80630.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002685.1	gene-AT2G01210	Genbank	gene	119270	121980	.	-	.	ID=gene-AT2G01210;Dbxref=Araport:AT2G01210,TAIR:AT2G01210;Name=AT2G01210;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F10A8.9,F10A8_9;locus_tag=AT2G01210	1	2	rna-gnl|JCVI|mRNA.AT2G01210.1	AEC05416.1	2										NA	rna-gnl|JCVI|mRNA.AT2G01210.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002685.1	gene-AT2G01460	Genbank	gene	205775	211963	.	+	.	ID=gene-AT2G01460;Dbxref=Araport:AT2G01460,TAIR:AT2G01460;Name=AT2G01460;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F2I9.8,F2I9_8;locus_tag=AT2G01460	3	2	rna-gnl|JCVI|mRNA.AT2G01460.3;rna-gnl|JCVI|mRNA.AT2G01460.2;rna-gnl|JCVI|mRNA.AT2G01460.1	ANM61396.1;AEC05457.1;AEC05456.1	2;2;2										NA	rna-gnl|JCVI|mRNA.AT2G01460.3;rna-gnl|JCVI|mRNA.AT2G01460.2;rna-gnl|JCVI|mRNA.AT2G01460.1	N;N;N	N	1			0	FALSE	TRUE	FALSE	FALSE	medium	H_nonLRR
CP002685.1	gene-AT2G01820	Genbank	gene	357353	360924	.	-	.	ID=gene-AT2G01820;Dbxref=Araport:AT2G01820,TAIR:AT2G01820;Name=AT2G01820;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=T23K3.1,T23K3_1;locus_tag=AT2G01820	1	2	rna-gnl|JCVI|mRNA.AT2G01820.1	AEC05504.1	2										NA	rna-gnl|JCVI|mRNA.AT2G01820.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002685.1	gene-AT2G01950	Genbank	gene	440624	444324	.	-	.	ID=gene-AT2G01950;Dbxref=Araport:AT2G01950,TAIR:AT2G01950;Name=BRL2;Note=Encodes a leucine rich repeat receptor kinase and associated with provascular/procambial cells. Similar to BRI%2C brassinosteroid receptor protein.;gbkey=Gene;gene=BRL2;gene_biotype=protein_coding;gene_synonym=BRI1-like 2,F14H20.2,F14H20_2,VASCULAR HIGHWAY 1,VH1;locus_tag=AT2G01950	1	2	rna-gnl|JCVI|mRNA.AT2G01950.1	AEC05526.1	2										NA	rna-gnl|JCVI|mRNA.AT2G01950.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002685.1	gene-AT2G02220	Genbank	gene	583797	587401	.	-	.	ID=gene-AT2G02220;Dbxref=Araport:AT2G02220,TAIR:AT2G02220;Name=PSKR1;Note=Encodes a protein interacting with phytosulfokine%2C a five amino acid sulfated peptide (YIYTQ). Contains dual guanylate cyclase and kinase catalytic activities that operate in vivo.;gbkey=Gene;gene=PSKR1;gene_biotype=protein_coding;gene_synonym=ATPSKR1,PHYTOSULFOKIN RECEPTOR,phytosulfokin receptor 1,PHYTOSULFOKIN RECEPTOR 1,PSK RECEPTOR 1;locus_tag=AT2G02220	1	2	rna-gnl|JCVI|mRNA.AT2G02220.1	AEC05558.1	2										NA	rna-gnl|JCVI|mRNA.AT2G02220.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
